"YYIR1","HIRD","pred_HIRD"
1080.3324099723,919.014084507042,1359.64847107478
590.027700831025,686.619718309859,988.117251490228
947.368421052632,1352.11267605634,1258.8942420349
1977.83933518006,1288.7323943662,2039.73951709396
2376.73130193906,1531.69014084507,2342.00220421359
2509.69529085873,2165.49295774648,2442.75643325347
1038.7811634349,992.957746478873,1328.16277449981
1030.47091412742,1193.66197183099,1321.86563518482
1038.7811634349,1563.38028169014,1328.16277449981
1080.3324099723,1373.23943661972,1359.64847107478
1088.64265927978,1352.11267605634,1365.94561038977
1163.43490304709,1426.05633802817,1422.6198642247
1246.53739612188,1394.3661971831,1485.59125737462
1238.2271468144,1404.92957746479,1479.29411805963
1321.3296398892,1278.16901408451,1542.26551120956
1354.57063711911,1330.98591549296,1567.45406846952
1387.81163434903,1151.40845070423,1592.6426257295
1529.08587257618,1288.7323943662,1699.69399408437
1570.63711911357,1278.16901408451,1731.17969065933
1346.26038781163,1542.25352112676,1561.15692915453
1437.67313019391,1626.76056338028,1630.42546161945
1437.67313019391,1732.39436619718,1630.42546161945
1254.84764542936,1669.01408450704,1491.88839668962
1204.98614958449,1774.64788732394,1454.10556079967
1138.50415512465,1880.28169014084,1403.72844627972
1296.39889196676,1922.53521126761,1523.37409326458
1487.53462603878,2102.11267605634,1668.2082975094
1520.7756232687,1996.47887323944,1693.39685476938
1562.32686980609,1869.71830985915,1724.88255134433
1653.73961218837,1859.15492957746,1794.15108380926
1686.98060941828,2059.85915492958,1819.33964106922
1770.08310249307,1964.78873239437,1882.31103421914
1770.08310249307,1911.97183098592,1882.31103421914
1711.91135734072,1658.45070422535,1838.2310590142
1695.29085872576,1552.81690140845,1825.63678038421
1761.7728531856,1595.07042253521,1876.01389490416
1936.28808864266,1616.19718309859,2008.253820519
1927.97783933518,1542.25352112676,2001.956681204
1969.52908587258,1542.25352112676,2033.44237777897
2094.18282548476,1658.45070422535,2127.89946750385
2177.28531855956,1700.70422535211,2190.87086065378
2252.07756232687,1700.70422535211,2247.54511448871
2002.77008310249,1954.22535211268,2058.63093503893
2094.18282548476,2144.3661971831,2127.89946750385
2177.28531855956,2186.61971830986,2190.87086065378
2019.39058171745,2271.12676056338,2071.22521366892
1977.83933518006,2302.81690140845,2039.73951709396
1977.83933518006,2366.19718309859,2039.73951709396
1911.35734072022,2355.6338028169,1989.36240257402
1869.80609418283,2292.25352112676,1957.87670599906
1836.56509695291,2471.83098591549,1932.68814873909
1653.73961218837,2630.28169014085,1794.15108380926
2085.87257617729,2450.70422535211,2121.60232818886
2135.73407202216,2503.52112676056,2159.38516407881
2168.97506925208,2440.14084507042,2184.57372133878
2102.49307479224,2746.47887323944,2134.19660681884
2135.73407202216,2947.18309859155,2159.38516407881
2526.31578947368,2830.98591549296,2455.35071188345
2468.14404432133,2535.21126760563,2411.27073667851
2468.14404432133,2355.6338028169,2411.27073667851
2659.27977839335,2524.64788732394,2556.10494092333
