"player","xg_Aerial","xg_Cross","xg_None","xg_Pass","xg_Dribble","xg_LooseBall","xg_Chipped","xg_Throughball","xg_LayOff","n_shots_Aerial","n_shots_Cross","n_shots_None","n_shots_Pass","n_shots_Dribble","n_shots_LooseBall","n_shots_Chipped","n_shots_Throughball","n_shots_LayOff","xg_foot","xg_headother","n_shots_foot","n_shots_headother","xa_Aerial","xa_Chipped","xa_Cross","xa_LooseBall","xa_Pass","xa_Dribble","xa_Throughball","xa_LayOff","xa_None","n_assists_Aerial","n_assists_Chipped","n_assists_Cross","n_assists_LooseBall","n_assists_Pass","n_assists_Dribble","n_assists_Throughball","n_assists_LayOff","n_assists_None","xa_foot","xa_headother","n_assists_foot","n_assists_headother","totxg","totxa"
"Lombán",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019,0,0,0,0,0,0,0,0,1,0,0,0,0.019,0,1,0,0,0.037
"Loren Morón",0.024,0.511,0.089,1.798,0.236,0.993,0,0.82,0,1,4,1,12,2,3,0,3,0,4.101,0.37,23,3,0,0,0,0,0.495,0,0.476,0,0,0,0,0,0,5,0,1,0,0,0.971,0,6,0,8.942,1.941
"Lorenzo Crisetig",0,0,0.008,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0
"Lorenzo De Silvestri",0,0.132,0.015,0.731,0,0,0.18,0,0.034,0,2,1,3,0,0,2,0,1,0.788,0.303,6,3,0.088,0.034,0.591,0,0.975,0.24,0,0,0,3,1,5,0,6,1,0,0,0,1.735,0.193,10,6,2.183,3.855
"Lorenzo Del Pinto",0,0,0.022,0.092,0,0,0,0,0.02,0,0,1,2,0,0,0,0,1,0.134,0,4,0,0,0.022,0,0,0.091,0,0,0,0,0,1,0,0,3,0,0,0,0,0.113,0,4,0,0.268,0.226
"Lorenzo Insigne",0.013,0.831,0.885,5.274,1.409,0.443,2.323,2.185,0.086,1,6,10,84,22,7,25,8,3,12.45,0.997,161,5,0.511,0.979,3.852,0.076,4.466,0.122,2.585,0.142,0,3,8,10,1,65,3,8,2,0,10.14,2.593,91,9,26.895,25.466
"Lorenzo Pellegrini",0.13,0,0.063,2.302,0.113,0,0.044,0,0,4,0,1,28,1,0,1,0,0,2.536,0.117,32,3,0.026,0.061,0.743,0.093,1.143,0.439,0.327,0.039,0.026,1,1,3,2,22,1,1,1,1,2.212,0.684,30,3,5.305,5.792
"Lorenzo Venuti",0,0.086,0,0.127,0.32,0,0.016,0,0,0,1,0,2,1,0,1,0,0,0.462,0.086,4,1,0,0.046,1.341,0.049,0.816,0,0,0,0,0,2,7,2,8,0,0,0,0,1.729,0.523,16,3,1.098,4.505
"Lubomir Tupta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0,0,0,0,0,0,0,0,1,0,0,0,0,0.017,0,1,0,0,0.035
"Luca Antonelli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,1,0,0,0,0.03,0,1,0,0,0.06
"Luca Ceppitelli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046,0.238,0,0.017,0.007,0.267,0.271,0,0,1,1,0,1,1,1,1,0,0,0.846,0,6,0,0,1.692
"Luca Cigarini",0.021,0,0.048,0.068,0,0.126,0.009,0,0.079,2,0,3,5,0,4,1,0,1,0.349,0,16,0,0,0.198,0,0,0.666,0,0.325,0,0.519,0,4,0,0,8,0,1,0,1,1.422,0.287,12,2,0.698,3.418
"Luca Garritano",0,0,0,0.023,0.035,0,0,0,0,0,0,0,1,2,0,0,0,0,0.059,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117,0
"Luca Mazzitelli",0.055,0.056,0.061,0.23,0.012,0,0,0.126,0,1,1,1,6,1,0,0,1,0,0.429,0.111,9,2,0.043,0,0.127,0,0.09,0.099,0,0.021,0,1,0,1,0,2,1,0,1,0,0.253,0.127,5,1,1.079,0.76
"Luca Mora",0,0,0.078,0.039,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0.116,0,4,0,0.014,0,0,0,0.112,0.114,0,0,0,1,0,0,0,3,1,0,0,0,0.226,0.014,4,1,0.232,0.479
"Luca Rigoni",0.023,1.62,0.117,0.074,0,0.679,0.033,0.951,0,1,5,2,3,0,1,1,3,0,2.537,0.961,13,3,0.061,0.099,0.027,0,0.214,0.099,0.131,0.073,0,1,1,1,0,5,1,1,1,0,0.704,0,11,0,6.996,1.409
"Luca Rizzo",0.04,0,0.04,0.165,0.105,0,0,0,0,1,0,1,5,1,0,0,0,0,0.35,0,8,0,0,0,0.044,0,0.02,0,0,0,0,0,0,1,0,1,0,0,0,0,0.064,0,2,0,0.7,0.128
"Luca Rossettini",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064,0,0,0.013,0,0,0,0,0,1,0,0,1,0,0,0,0,0.077,0,2,0,0,0.154
"Luca Vido",0,0,0,0.519,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.519,0,3,0,0,0,0.05,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.022,0.029,1,1,1.038,0.101
"Lucas Alario",0.749,2.387,0.739,2.326,0.998,0.212,0.232,0.1,0,5,12,2,18,3,2,4,1,0,5.934,1.809,31,16,0.127,0.322,0,0,1.47,0.062,0,0,0,2,1,0,0,9,1,0,0,0,1.981,0,13,0,15.486,3.963
"Lucas Biglia",0.061,0,0.134,0.491,0,0.053,0.009,0,0.097,1,0,5,7,0,2,1,0,1,0.844,0,17,0,0.041,0,0,0.039,0.458,0.113,0,0,0,2,0,0,1,20,2,0,0,0,0.651,0,25,0,1.688,1.301
"Lucas Boyé",0.075,0,0,0.017,0.435,0.147,0,0,0,1,0,0,1,1,2,0,0,0,0.675,0,5,0,0,0,0,0,0.316,0.129,0,0,0,0,0,0,0,5,1,0,0,0,0.445,0,6,0,1.349,0.89
