"id","league","team","match_id","date","minute","result","outcome","xG","player","h_a","shotType","lastAction","shot_x","shot_y"
"361","EPL","Leicester",452,"2016-05-15 18:00:00",32,"BlockedShot","fail",0.05,"Jamie Vardy","a","LeftFoot","Pass",100.48,48.01
"362","EPL","Leicester",452,"2016-05-15 18:00:00",47,"BlockedShot","fail",0.03,"Jamie Vardy","a","RightFoot","Dribble",80.01,27.88
"363","EPL","Leicester",452,"2016-05-15 18:00:00",48,"BlockedShot","fail",0.07,"Jeffrey Schlupp","a","LeftFoot","LooseBall",91.14,43.04
"364","EPL","Leicester",452,"2016-05-15 18:00:00",57,"BlockedShot","fail",0.03,"Christian Fuchs","a","LeftFoot","Dribble",84.73,32.1
"365","EPL","Leicester",452,"2016-05-15 18:00:00",58,"SavedShot","fail",0.38,"Shinji Okazaki","a","LeftFoot","Cross",97.12,36.86
"366","EPL","Leicester",452,"2016-05-15 18:00:00",63,"MissedShots","fail",0.04,"Danny Simpson","a","RightFoot","Dribble",83.68,21.56
"367","EPL","Leicester",452,"2016-05-15 18:00:00",76,"SavedShot","fail",0.05,"Riyad Mahrez","a","LeftFoot","Pass",84.42,33.39
"368","EPL","Leicester",452,"2016-05-15 18:00:00",78,"MissedShots","fail",0.02,"N&#039;Golo Kanté","a","RightFoot","None",81.58,48.96
"369","EPL","Leicester",452,"2016-05-15 18:00:00",81,"Goal","goal",0.01,"Daniel Drinkwater","a","RightFoot","Pass",73.71,27.47
"370","EPL","Leicester",452,"2016-05-15 18:00:00",83,"BlockedShot","fail",0.06,"Jeffrey Schlupp","a","LeftFoot","Dribble",85.68,29.85
"371","EPL","Leicester",452,"2016-05-15 18:00:00",87,"SavedShot","fail",0.03,"Jeffrey Schlupp","a","LeftFoot","Pass",80.85,26.79
